530 ,baling-baling     ,kitiran
531 ,balsam            ,balsem
532 ,balu              ,randha/duda
533 ,balut             ,blebet
534 ,membalut          ,mbelbet
535 ,bambu             ,pring
536 ,ban               ,ban
537 ,banci             ,banci
538 ,bandar            ,bandar
539 ,bandel            ,bandhel
540 ,bandeng           ,bandeng
541 ,banding           ,bandhing
542 ,bandingkan        ,bandingena
543 ,sebanding         ,sakbandhing
544 ,dibandingkan      ,dibandhingake
545 ,bandit            ,badnhit
546 ,bangau            ,blekok
547 ,bangga            ,bangga
548 ,bangkai           ,bathang
549 ,membangkang       ,ngelawan
550 ,bangkrut          ,kukut
551 ,bangku            ,bangku
552 ,bangkuang         ,bengkowang
553 ,bangor            ,nakal
554 ,bangsa            ,bangsa
555 ,bangsal           ,pendhapa
556 ,bangsat           ,bajingan
557 ,bangsawan         ,ningrat
558 ,bentuk            ,wujud
559 ,bangunan          ,wangunan
560 ,membangun         ,mbangun
561 ,bangun (tidur)    ,tangi
562 ,membangunkan      ,ngunggah
563 ,banjir            ,banjir
564 ,bantah            ,bantah
565 ,membantah         ,mbantah
566 ,bantai            ,tumpes
567 ,bantal            ,bantal
568 ,bantat            ,bantat
569 ,banteng           ,bantheng
570 ,banting           ,kepruk
571 ,membanting        ,ngepruk
572 ,dibanting         ,dibanting
573 ,bantu             ,tulung
574 ,membantu          ,nulung
575 ,pembantu          ,pembantu
576 ,banyak            ,akeh
577 ,memperbanyak      ,ngakehake
578 ,kebanyakan        ,kakehan
579 ,membanyol         ,mbanyol
580 ,bapak             ,bapak
581 ,bara api          ,mawa
582 ,barang            ,barang
583 ,barangkali        ,mbokmenawi
584 ,barat             ,kulon
585 ,bareng            ,bareng
586 ,berbaring         ,glethakan
587 ,membaringkan      ,nurokake
588 ,terbaring         ,gemlethak
589 ,pembaringan       ,peturon
590 ,baris             ,larik
591 ,barisan           ,larikan
592 ,berbaris          ,baris
593 ,barongan          ,barongan
594 ,barongsai         ,barangsai
595 ,baru              ,anyar
596 ,barusan           ,nembe
597 ,membarui          ,nganyarake
598 ,basah             ,teles
599 ,membasahi         ,nelesi
600 ,basah kuyup       ,teles klebes
601 ,basa-basi         ,tata krama
602 ,basi              ,mambu
603 ,cawan             ,mangkok
604 ,basil             ,baksil
605 ,basis             ,dhasar
606 ,pangkalan         ,pangkalan
607 ,bola basket       ,basket
608 ,baskom            ,baskom
609 ,basmi             ,brantas
610 ,membasmi          ,mbrantas
611 ,basuh             ,kumbah
612 ,membasuh          ,ngumbah
613 ,bata              ,bata
614 ,batako            ,batako
615 ,batal             ,wurung
616 ,membatalkan       ,murungake
617 ,batalion          ,batalion
618 ,batang            ,pang
619 ,batara            ,dewa
620 ,batari            ,dewi
621 ,batas             ,wates
622 ,dibatasi          ,diwatesi
623 ,membatasi         ,matesi
624 ,baterai           ,batre
625 ,batik             ,bathik
626 ,membatik          ,mbathik
627 ,batal             ,ora sida
628 ,batin             ,batin
629 ,batok kelapa      ,bathok
630 ,batu              ,watu
631 ,berbatu-batu      ,akeh watune
632 ,batuk             ,watuk
633 ,berbatuk          ,watuk
634 ,terbatuk-batuk    ,watuk-watuk
635 ,bau               ,mambu
636 ,berbau            ,mambet
637 ,bau busuk         ,bacin
638 ,bau-bauan         ,ambu-ambuan
639 ,berbaur           ,campur
640 ,baut              ,baut
641 ,bawa              ,gawa
642 ,membawa           ,nggawa
643 ,membawa di kepala ,nyunggi
644 ,pembawaan         ,sifat
645 ,membawa-bawa      ,ngembet-ngembet
646 ,bawah             ,ingsor
647 ,paling bawah      ,ngisor dhewe
648 ,bawang            ,bawang
649 ,bawang merah      ,brambang
650 ,bawang putih      ,bawang putih
651 ,bawel             ,crewet
652 ,sebaya            ,sepantar
653 ,bayam             ,bayem
654 ,bayangan          ,wewayangan
655 ,bayang-bayang     ,ayang-ayang
656 ,membayangkan      ,mbayangake
657 ,terbayang         ,katon-katonan
658 ,bayar             ,bayar
659 ,bayaran           ,bayaran
660 ,membayar          ,mbayar
661 ,pembayaran        ,mbayare
662 ,bayi              ,bayi
663 ,bayonet           ,bayonet
664 ,angin             ,angin
665 ,bazar             ,pasar
666 ,beasiswa          ,brasiswa
667 ,bodoh             ,bodho
668 ,beban             ,sanggan
669 ,membebani         ,ngabot-ngaboti
670 ,bebas             ,bebas
671 ,membebaskan       ,mbebasake
672 ,bebat             ,perban
673 ,membebat          ,merban
674 ,bebek             ,bebek
675 ,membeberkan       ,mbeberake
676 ,becak             ,becak
677 ,becek             ,becek
678 ,becus             ,saget
679 ,beda              ,sejen
680 ,dibedakan         ,dibedakake
681 ,membedakan        ,mbedakake
682 ,berbeda-beda      ,beda-beda
683 ,bedah             ,bedel
684 ,membedah          ,mbedhel
685 ,bedak             ,wedhak
686 ,bedil             ,bedhil
687 ,membedil          ,mbedhil
688 ,beduk             ,bedhug
689 ,begal             ,begal
690 ,membegal          ,mbegal
691 ,begawan           ,pandhita
692 ,begini            ,ngene
693 ,begitu            ,ngono
694 ,bejana            ,bak
695 ,bejat             ,rusak
696 ,bekal             ,sangu
697 ,membekali         ,nyangoni
698 ,bekas             ,tapak
699 ,membekas          ,nipak
700 ,barang bekas      ,rombengan
701 ,bekatul           ,bekatul
702 ,jam beker         ,beker
703 ,bekicot           ,bekicot
704 ,bekisar           ,bekisar
705 ,beku              ,njedhel
706 ,bekuk             ,tekuk
707 ,bel               ,bel
708 ,bela              ,bela
709 ,dibela            ,dibela
710 ,membela           ,mbela
711 ,belacan           ,trasi
712 ,belacu            ,blacu
713 ,belah             ,sigar
714 ,membelah          ,nyigar
715 ,belahan           ,sigaran
716 ,sebelah           ,sesisih
717 ,sebelah timur     ,sisih wetan
718 ,belai             ,ngelus-ngelus
719 ,belajar           ,sinau
720 ,belaka            ,amung
721 ,belakang          ,mburi
722 ,belakangan        ,mburine
723 ,di belakang       ,ing mburi
724 ,ke belakang       ,menyang mburi
725 ,membelakangi      ,ngungkurake
726 ,membelalak        ,mendelik
727 ,belalai           ,tlalé
728 ,belalang          ,walang
729 ,belanak           ,blanak
730 ,belanda           ,landa
731 ,belang            ,belang
732 ,belanga           ,kuwali
733 ,belangkin         ,aspal
734 ,belangko          ,blangko
735 ,belanja           ,blanja
736 ,berbelanja        ,blanja
737 ,belanjaan         ,blanjan
738 ,belantara         ,alas gedhé
739 ,belas kasih       ,welas asih
740 ,sebelas           ,sewelas
741 ,belati            ,lading
742 ,belatung          ,blatung
743 ,belenggu          ,kecrek
744 ,membelenggu       ,mblenggu
745 ,terbelenggu       ,keblenggu
746 ,belerang          ,wlirang
747 ,beli              ,tuku
748 ,dibeli            ,dituku
749 ,membeli           ,tuku
750 ,membelikan        ,nokokaké
751 ,belia             ,enom
752 ,membeliak         ,mentheleng
753 ,beliau            ,piyambakipun
754 ,belibis           ,mliwis
755 ,belimbing         ,blimbing
756 ,belinjo           ,mlinjo
757 ,beling            ,beling
758 ,belit             ,mrambat
759 ,berbelit-belit    ,mbulet
760 ,belok             ,menggok
761 ,dibelokkan        ,dienggokake
762 ,berbelok          ,ménggok
763 ,berbelok-belok    ,mènggak-mènggok
764 ,belokan           ,pènggokan
765 ,belukar           ,grumbul
766 ,beluluk           ,bluluk
767 ,belum             ,durung
768 ,sebelumnya        ,sadurunge
769 ,belunjur          ,slonjor
770 ,beluntas          ,luntas
771 ,belut             ,welut
772 ,benah             ,mberesi
773 ,benak             ,utek
774 ,benalu            ,kemladéyan
775 ,benam             ,lelep
776 ,membenamkan       ,nglelepké
777 ,terbenam          ,klelep
778 ,benang            ,benang
779 ,benar             ,bener
780 ,sebenarnya        ,sakbeneré
781 ,membenarkan       ,mbeneraké
782 ,bencana           ,pageblug
783 ,benci             ,gething
784 ,dibenci           ,disengiti
785 ,membenci          ,nyengiti
786 ,kebencian         ,rasa sengit
787 ,benda             ,barang
788 ,bendel            ,bèndhel
789 ,membendel         ,mbèndhel
790 ,bendera           ,gendéra
791 ,dokar             ,andhong
792 ,bendungan         ,bendungan
793 ,bengawan          ,bengawan
794 ,asma              ,bengek
795 ,                  ,
